,Symbol,Company Name,Industry,Prior Close,% 5 Day Chg_x,% 4 Week Chg_x,% 52 Week Chg,Mkt Cap,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,Thomson Reuters Consensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,% 5 Day Chg_y,% 4 Week Chg_y,% Vs. S&P 500 4 Weeks,% Vs. S&P 500 13 Weeks,% Vs. S&P 500 52 Weeks,Beta,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow Ratio,Debt to Capital Ratio,% Return on Equity,% Return on Assets,% EPS Growth CFY*,% EPS Growth NFY*,% Revenue Growth CFY*,% Revenue Growth NFY*,% Dividend Yield,% Dividend Growth 5 Year
0,FLWS,1-800-Flowers.Com Inc,Other Specialty Retailers,4.74,0.0194,-0.1,-0.48,$172.986M,0,0,0,0,0,-1.0,3.0,0,0,0.0194,-0.1,-0.1892,-0.3661,-0.5492,1.19,0.0,0,0.18,0.95,0.0,33.11,-0.4208,-0.183,-33.875,0.8817,-0.0828,-0.0068000000000000005,0.0,0.0
1,TXG,10X Genomics Inc,Healthcare Equipment & Supplies,8.59,-0.0381,0.03,-0.63,$954.289M,-1,0,0,0,1,0.0,2.5,1,1,-0.0381,0.03,-0.0374,-0.2224,-0.6594,1.85,0.0,0,1.69,1.5,0.0,0.0,-0.22030000000000002,-0.172,0.0,0.0,0.0,0.0,0.0,0.0
2,YI,111 Inc - ADR,Pharmaceuticals,8.03,0.0223,-0.09,-0.36,$813.318M,0,0,0,0,0,0.0,0.0,0,0,0.0223,-0.09,-0.10279999999999999,-0.0392,-0.40090000000000003,0.42,0.0,0,0.03,0.0,0.0,29.72,0.0,-0.0070999999999999995,0.0,0.0,0.0,0.0,0.0,0.0
3,YQ,17 Education & Technology Group Inc(ADR),Miscellaneous Educational Service Providers,1.96,-0.0622,0.13,-0.31,$638.331M,1,0,0,0,-1,0.0,0.0,0,0,-0.0622,0.13,-0.10949999999999999,-0.0095,-0.3946,1.07,0.0,0,0.66,0.32,0.0,0.0,-0.4346,-0.3127,0.0,0.0,0.0,0.0,0.0,0.0
4,TURN,180 Degree Capital Corp,Collective Investments ,3.99,-0.032799999999999996,0.04,0.05,$41.444M,0,0,0,0,0,-0.5,0.0,0,0,-0.032799999999999996,0.04,-0.0621,0.0026,-0.0655,0.4,0.0,0,204.56,0.86,0.0,0.0,-0.0801,-0.0783,0.0,0.0,0.0,0.0,0.0,0.0
5,ATNF,180 Life Sciences Corp,Software & IT Services,1.09,-0.052199999999999996,0.2,-0.38,$6.208M,0,0,0,0,0,0.0,0.0,0,0,-0.052199999999999996,0.2,0.1501,-0.10880000000000001,-0.3972,1.16,0.0,0,0.0,0.73,0.0,1.93,-4.5857,-0.9895999999999999,0.0,0.0,0.0,0.0,0.0,0.0
6,SRCE,1st Source Corp,Banking Services,61.51,-0.0143,0.03,0.21,$1.511B,1,0,0,1,0,1.0,2.7,1,-1,-0.0143,0.03,-0.047,-0.047400000000000005,0.0901,0.67,10.82,0,3.8,1.3,10.1,0.0,0.1284,0.016,0.1082,0.0,0.0852,0.0246,0.024700000000000003,0.049400000000000006
7,DIBS,1Stdibs.Com Inc,Software & IT Services,2.50,0.004,0.0,-0.55,$89.210M,0,0,0,0,0,0.0,2.0,1,0,0.004,0.0,-0.0533,-0.3807,-0.5957,0.51,0.0,0,1.01,0.93,0.0,0.0,-0.1772,-0.1251,0.0,0.0,0.0,0.0,0.0,0.0
8,XXII,22nd Century Group Inc,Food & Tobacco,0.81,-0.2673,0.19,-0.99,$9.275M,0,0,0,0,0,0.0,2.0,0,0,-0.2673,0.19,-0.0644,-0.6820999999999999,-0.9956999999999999,0.99,0.0,0,0.22,0.61,0.0,52.01,0.0,-0.5782,0.0,0.0,0.0,0.0,0.0,0.0
9,MASK,3 E Network Technology Group Ltd,Software & IT Services,3.46,-0.0521,0.05,0.0,$38.925M,0,0,0,0,0,0.0,0.0,0,0,-0.0521,0.05,-0.0716,0.2793,0.0,0,20.17,0,8.25,10.26,20.07,3.77,0.6762,0.47259999999999996,0.0,0.0,0.0,0.0,0.0,0.0
10,KRKR,36Kr Holdings Inc - ADR,Software & IT Services,5.88,-0.0168,0.44,-0.31,$5.225B,0,0,0,0,0,0.0,0.0,0,0,-0.0168,0.44,0.1009,0.4819,-0.4304,0.58,0.0,0,0.36,0.72,0.0,7.8,-0.7384999999999999,-0.38299999999999995,0.0,0.0,0.0,0.0,0.0,0.0
11,SCWO,374Water Inc,"Machinery, Equipment & Components",0.35,0.0916,0.08,-0.76,$50.538M,-1,0,0,0,0,0.0,2.0,0,0,0.0916,0.08,0.17149999999999999,0.0645,-0.7574,1.59,0.0,0,75.06,4.02,0.0,0.0,-1.1071,-0.9244,0.0,0.0,0.0,0.0,0.0,0.0
12,FDMT,4D Molecular Therapeutics Inc,Biotechnology & Medical Research,3.42,-0.1,0.11,-0.86,$158.432M,-1,0,0,0,-1,-1.0,2.1,1,-1,-0.1,0.11,-0.0087,-0.24239999999999998,-0.8782,1.4,0.0,0,6888.27,0.34,0.0,0.0,-0.3297,-0.308,0.0,0.0,0.0,0.0,0.0,0.0
13,FEAM,5E Advanced Materials Inc,Metals & Mining,4.38,-0.0875,-0.17,-0.9,$87.679M,0,0,0,0,0,0.0,2.5,1,0,-0.0875,-0.17,-0.12300000000000001,-0.0823,-0.9068,0.39,0.0,0,0.0,1.19,0.0,0.12,-0.8277,-0.4456,0.0,0.0,0.0,0.0,0.0,0.0
14,SXTP,60 Degrees Pharmaceuticals Inc,Pharmaceuticals,2.36,0.0194,-0.23,-0.87,$3.476M,0,0,0,0,0,0.0,2.5,0,0,0.0194,-0.23,-0.1309,0.23620000000000002,-0.8881,-0.8,0.0,0,4.39,0.0,0.0,3.71,0.0,-1.4294,0.0,0.0,0.0,0.0,0.0,0.0
15,ETNB,89bio Inc,Biotechnology & Medical Research,9.16,0.18960000000000002,0.4,0.18,$1.337B,0,0,0,1,0,0.0,1.7,1,-1,0.18960000000000002,0.4,0.1393,-0.0009,0.008100000000000001,1.72,0.0,0,0.0,2.21,0.0,5.6,-0.693,-0.6126,0.39030000000000004,-0.023399999999999997,0.0,0.0,0.0,0.0
16,EGHT,8x8 Inc,Telecommunications Services,1.66,-0.07780000000000001,-0.05,-0.39,$223.235M,0,0,-1,0,-1,0.0,2.9,0,-1,-0.07780000000000001,-0.05,-0.1387,-0.37,-0.4708,1.42,0.0,0,0.31,1.83,18.59,74.12,-0.24280000000000002,-0.0378,-0.0278,-0.0857,-0.0024,0.013000000000000001,0.0,0.0
17,MASS,908 Devices Inc,Healthcare Equipment & Supplies,5.44,0.1405,-0.09,-0.28,$192.195M,0,0,0,1,0,0.0,1.8,1,-1,0.1405,-0.09,-0.0661,1.2701,-0.24789999999999998,0.83,0.0,0,3.18,1.22,0.0,0.0,-0.4497,-0.36869999999999997,0.0,0.0,0.0,0.0,0.0,0.0
18,JFU,9F Inc - ADR,Investment Banking & Investment Services,1.32,0.0,0.1,-0.54,$230.081M,0,0,0,0,0,0.0,0.0,0,0,0.0,0.1,0.024399999999999998,-0.1598,-0.5746,0.05,13.99,2.17158,0.38,0.03,0.0,0.0,0.0022,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0
19,ASPC,A SPAC III Acquisition Corp,Holding Companies,10.21,0.0,0.01,0.0,$66.927M,0,0,0,0,0,0.0,0.0,0,0,0.0,0.01,-0.0516,0.024300000000000002,0.0,0,375.09,0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AMRK,A-Mark Precious Metals Inc,Metals & Mining,21.06,-0.0005,-0.21,-0.48,$518.603M,0,0,0,-1,0,-1.0,2.3,1,-1,-0.0005,-0.21,-0.179,-0.225,-0.5035000000000001,0.66,13.39,0,0.05,0.81,9.64,56.86,0.061799999999999994,0.019,-0.6698000000000001,1.9155000000000002,0.1727,0.027999999999999997,0.038,0.0
