,Symbol,Company Name,Industry,Prior Close,% 5 Day Chg_x,% 4 Week Chg_x,% 52 Week Chg,Mkt Cap,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,Thomson Reuters Consensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,% 5 Day Chg_y,% 4 Week Chg_y,% Vs. S&P 500 4 Weeks,% Vs. S&P 500 13 Weeks,% Vs. S&P 500 52 Weeks,Beta,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow Ratio,Debt to Capital Ratio,% Return on Equity,% Return on Assets,% EPS Growth CFY*,% EPS Growth NFY*,% Revenue Growth CFY*,% Revenue Growth NFY*,% Dividend Yield,% Dividend Growth 5 Year
0,MMM,3M Co,Consumer Goods Conglomerates,149.49,-0.0302,0.08,0.51,$80.453B,1,1,0,1,-1,1.0,2.3,1,-1,-0.0302,0.08,0.014499999999999999,0.0259,0.3436,1.08,18.63,28.01833,3.28,18.02,14.6,74.87,0.9475,0.09300000000000001,0.0507,0.086,0.0128,0.029900000000000003,0.0195,-0.0892
1,AOS,A O Smith Corp,"Machinery, Equipment & Components",68.57,-0.0275,0.03,-0.2,$7.971B,1,0,0,1,0,0.0,2.5,0,-1,-0.0275,0.03,-0.0392,0.0294,-0.2754,0.53,19.16,2.39446,2.56,5.33,16.17,12.7,0.2797,0.162,0.0134,0.1058,0.0121,0.0433,0.019799999999999998,0.07629999999999999
2,ABT,Abbott Laboratories,Healthcare Equipment & Supplies,132.94,-0.019299999999999998,0.02,0.26,$231.294B,0,1,1,-1,0,0.0,2.1,1,-1,-0.019299999999999998,0.02,-0.0434,-0.015600000000000001,0.1457,0.26,17.18,1.53012,5.46,4.74,13.87,21.25,0.30820000000000003,0.1754,0.10490000000000001,0.1008,0.0646,0.07690000000000001,0.0178,0.1144
3,ABBV,AbbVie Inc,Pharmaceuticals,185.72,0.0001,0.01,0.15,$328.056B,0,1,1,-1,1,0.0,2.1,1,-1,0.0001,0.01,-0.0987,-0.0851,0.0593,0.46,79.19,21.5974,5.72,231.01,26.01,97.95,0.8815000000000001,0.029500000000000002,0.2115,0.1444,0.0636,0.0812,0.0353,0.07690000000000001
4,ACN,Accenture Plc,Software & IT Services,315.43,-0.0124,0.09,0.03,$213.979B,0,1,0,0,0,0.0,1.9,1,-1,-0.0124,0.09,-0.0076,-0.126,-0.061200000000000004,0.75,26.03,2.94186,2.94,6.76,21.95,14.59,0.2726,0.141,0.06280000000000001,0.0693,0.0575,0.056299999999999996,0.018799999999999997,0.1131
5,ADBE,Adobe Inc,Software & IT Services,413.10,-0.018000000000000002,0.15,-0.14,$176.063B,1,1,1,0,1,1.0,2.0,1,-1,-0.018000000000000002,0.15,0.045700000000000005,-0.06309999999999999,-0.2216,0.92,27.23,1.68419,7.99,13.72,23.13,31.97,0.4728,0.23,0.10529999999999999,0.12279999999999999,0.09,0.0969,0.0,0.0
6,AMD,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment ,114.56,-0.0016,0.17,-0.31,$185.748B,0,1,0,1,0,1.0,2.1,1,-1,-0.0016,0.17,0.1199,0.1082,-0.3831,1.96,83.98,2.30108,6.69,3.2,35.03,6.71,0.039,0.0315,0.1934,0.43799999999999994,0.2268,0.1745,0.0,0.0
7,AES,AES Corp,Electrical Utilities & IPPs,10.07,-0.1401,-0.05,-0.53,$7.169B,0,0,1,0,1,0.0,2.5,1,-1,-0.1401,-0.05,-0.08810000000000001,-0.0675,-0.5686,1.03,5.52,0.54147,0.59,2.07,4.0,78.0,0.4083,0.0105,0.004699999999999999,0.037200000000000004,0.0292,0.029300000000000003,0.0699,0.0479
8,AFL,Aflac Inc,Insurance,103.41,-0.028399999999999998,-0.06,0.18,$55.908B,1,0,0,-1,0,-1.0,2.9,0,-1,-0.028399999999999998,-0.06,-0.1058,-0.0256,0.0564,0.55,16.14,4.57169,3.31,2.13,0.0,22.52,0.1441,0.029300000000000003,-0.0907,0.0655,-0.0729,-0.0023,0.022400000000000003,0.13119999999999998
9,A,Agilent Technologies Inc,Healthcare Equipment & Supplies,111.26,-0.0192,0.02,-0.27,$31.721B,1,0,0,0,0,0.0,2.3,1,-1,-0.0192,0.02,-0.0277,-0.1661,-0.33840000000000003,1.01,25.52,2.78139,4.86,5.27,20.79,35.82,0.2061,0.1101,0.049100000000000005,0.0919,0.034300000000000004,0.0592,0.0089,0.078
10,APD,Air Products and Chemicals Inc,Chemicals,274.56,-0.01,0.0,0.02,$61.102B,0,0,0,0,0,0.0,2.3,1,-1,-0.01,0.0,-0.0483,-0.12990000000000002,-0.0705,0.84,39.54,3.35405,5.08,4.16,19.85,48.59,0.1045,0.0424,-0.037000000000000005,0.0794,-0.0105,0.047400000000000005,0.026099999999999998,0.0904
11,ABNB,Airbnb Inc,Software & IT Services,129.40,-0.0527,0.05,-0.09,$55.849B,0,1,0,1,-1,1.0,2.7,0,-1,-0.0527,0.05,-0.0317,-0.0806,-0.19760000000000003,1.33,32.68,0,7.11,10.24,30.55,20.1,0.3206,0.1024,0.0219,0.1429,0.0828,0.0968,0.0,0.0
12,AKAM,Akamai Technologies Inc,Software & IT Services,77.89,0.0003,-0.03,-0.18,$11.388B,1,0,1,0,0,0.0,2.3,1,-1,0.0003,-0.03,-0.0967,0.0036,-0.2588,1.19,26.27,2.1895,2.83,2.48,10.18,43.63,0.09820000000000001,0.0455,-0.0262,0.061799999999999994,0.0354,0.0542,0.0,0.0
13,ALB,Albemarle Corp,Chemicals,58.79,-0.0076,0.0,-0.53,$6.917B,-1,1,0,0,-1,0.0,2.7,0,-1,-0.0076,0.0,-0.07150000000000001,-0.24609999999999999,-0.5871999999999999,1.64,0.0,0,1.36,0.89,0.0,25.62,-0.153,-0.09449999999999999,0.359,0.0,-0.0974,0.1036,0.0276,0.0229
14,ARE,Alexandria Real Estate Equities Inc,Residential & Commercial REITs,70.36,-0.049800000000000004,-0.11,-0.42,$12.172B,0,0,0,-1,0,-1.0,2.5,0,-1,-0.049800000000000004,-0.11,-0.0895,-0.2989,-0.46759999999999996,0.74,92.37,16.2061,3.78,0.69,7.67,37.31,0.0073,0.0088,-0.0444,0.34299999999999997,-0.07339999999999999,0.0231,0.075,0.055099999999999996
15,ALGN,Align Technology Inc,Healthcare Equipment & Supplies,178.55,-0.034,-0.06,-0.32,$12.942B,0,0,1,1,1,0.0,2.3,1,-1,-0.034,-0.06,-0.0567,-0.0378,-0.3743,1.21,32.48,1.71549,3.25,3.44,23.08,0.0,0.1084,0.0668,0.10400000000000001,0.0922,0.0366,0.0559,0.0,0.0
16,ALLE,Allegion PLC,Communications & Networking,144.53,0.0003,0.02,0.17,$12.437B,1,0,1,0,0,0.0,2.8,-1,-1,0.0003,0.02,-0.0179,0.11900000000000001,0.056100000000000004,0.64,20.28,2.44532,3.26,7.74,16.76,55.41,0.4205,0.1405,0.0398,0.0766,0.0391,0.047,0.0141,0.122
17,LNT,Alliant Energy Corp,Electrical Utilities & IPPs,62.25,-0.013300000000000001,0.0,0.22,$15.979B,0,1,1,0,0,0.0,2.4,0,-1,-0.013300000000000001,0.0,-0.0512,-0.018000000000000002,0.1164,0.28,21.47,3.97673,3.92,2.25,10.38,59.98,0.10710000000000001,0.0338,0.19329999999999997,0.06849999999999999,0.0818,0.0489,0.0326,0.0622
18,ALL,Allstate Corp,Insurance,0.00,-0.0129,0.0,0.0,$0.000,1,1,0,1,1,1.0,2.0,1,-1,-0.0129,0.0,-0.0209,0.0942,0.1263,0,0.0,1.28899,0.84,2.74,12.38,26.83,0.2141,0.0363,-0.0207,0.2051,0.0695,0.0818,0.019299999999999998,0.1324
19,GOOGL,Alphabet Inc,Software & IT Services,172.90,0.0382,0.07,-0.02,$1.006T,1,1,1,1,1,1.0,1.9,1,-1,0.0382,0.07,0.0138,-0.0088,-0.1149,1.02,19.48,1.50905,5.85,6.09,16.44,3.88,0.34979999999999994,0.2528,0.19149999999999998,0.0626,0.1042,0.1051,0.0049,0.0
20,MO,Altria Group Inc,Food & Tobacco,59.62,0.0025,0.01,0.3,$100.427B,0,0,1,0,0,0.0,2.7,0,-1,0.0025,0.01,-0.0473,0.0707,0.1741,0.04,9.98,1.61639,4.24,0.0,9.56,115.31,0.0,0.2827,0.0527,0.0241,-0.0146,0.0,0.0684,-0.004
21,AMZN,Amazon.com Inc,Diversified Retail,206.02,-0.0007000000000000001,0.09,0.12,$2.187T,1,1,0,1,1,1.0,1.8,1,-1,-0.0007000000000000001,0.09,0.032400000000000005,-0.0263,0.021099999999999997,1.33,33.6,1.19999,3.36,7.15,18.03,19.95,0.25239999999999996,0.11230000000000001,0.1157,0.1734,0.0885,0.0953,0.0,0.0
22,AMCR,Amcor PLC,Containers & Packaging,9.17,-0.0286,-0.07,-0.09,$13.254B,0,0,0,-1,1,-0.5,2.4,1,-1,-0.0286,-0.07,-0.077,-0.10640000000000001,-0.1736,0.54,16.44,2.44868,1.57,3.44,15.64,69.51,0.20679999999999998,0.0471,0.0,0.0,0.0,0.0,0.0556,-0.0302
23,AEE,Ameren Corp,Multiline Utilities,96.69,-0.023,-0.04,0.33,$26.133B,0,1,1,-1,0,0.0,2.4,1,0,-0.023,-0.04,-0.0848,-0.0218,0.21420000000000003,0.26,21.45,4.98845,3.31,2.14,9.19,61.38,0.1023,0.0279,0.0691,0.0707,0.07150000000000001,0.0525,0.0294,0.069
24,AEP,American Electric Power Company Inc,Electrical Utilities & IPPs,102.91,-0.0084,-0.05,0.14,$54.974B,0,1,1,-1,1,0.0,2.6,1,-1,-0.0084,-0.05,-0.1093,-0.0385,0.0362,0.04,19.86,3.28341,2.73,2.01,9.16,62.83,0.1039,0.0264,0.044500000000000005,0.0716,0.07919999999999999,0.0348,0.0361,0.0567
25,AXP,American Express Co,Banking Services,293.76,-0.018500000000000003,0.07,0.22,$205.805B,0,1,1,1,0,0.0,2.5,1,-1,-0.018500000000000003,0.07,0.0331,0.0070999999999999995,0.10490000000000001,1.38,20.52,2.09398,2.83,6.6,17.24,86.46,0.3383,0.0373,0.1378,0.1429,0.0814,0.0801,0.011200000000000002,0.1103
26,AIG,American International Group Inc,Insurance,83.17,-0.0139,-0.01,0.06,$47.933B,0,1,1,0,0,1.0,2.3,1,-1,-0.0139,-0.01,-0.0475,0.058499999999999996,-0.0452,0.62,20.74,0.31121,1.76,1.17,7.79,17.43,0.0591,0.0074,0.2788,0.237,0.0174,0.031400000000000004,0.0216,0.0404
27,AMT,American Tower Corp,Residential & Commercial REITs,213.70,-0.0066,0.0,0.13,$100.041B,0,1,0,-1,1,0.0,1.9,1,-1,-0.0066,0.0,-0.0933,0.0548,0.0296,0.07,34.53,1.51467,9.83,28.3,14.7,78.77,0.7639,0.0455,0.2884,0.153,0.019799999999999998,0.0471,0.0318,0.12689999999999999
